Times,MAE,MSE,R2,random_state
0,201.8095490712244,82786.12050062961,0.734704454892168,8608948
1,238.52188367995973,135351.28006149922,0.5666118965020979,5111916
2,242.49169833601366,190370.64779821664,0.5310299214583973,3299854
3,283.36321195495015,194792.85357004334,0.4216345559094129,856554
4,275.54421849909727,170430.9374847518,0.5245802872560614,5708626
5,215.08703252375034,118240.76150609502,0.6487952825347085,11719769
6,251.39706675685628,166770.02309188235,0.49992464035353357,9601761
7,249.6911034400396,139326.89069388027,0.5841224090013915,10230266
8,243.6163196682544,122600.18299058631,0.6302173400844908,1932333
9,215.17895690383537,107744.42822058537,0.6952721989736854,2898488
10,218.60982645351808,104791.76683081934,0.6348869078833199,799636
11,252.41374905610152,175284.64245658787,0.4863882141687028,10140082
12,177.79822721054967,67113.04962532209,0.7540008001203563,6637964
13,243.39885977046788,140364.93690266428,0.6169888766377095,8613315
14,249.33370807680086,136890.00854512563,0.6230338769423421,11373533
15,233.63262561200955,122032.52016709899,0.6767225898717419,10953368
16,257.2384846637748,179953.67066605264,0.5816758021297137,10168361
17,250.01987164424563,140708.8742287462,0.5989570779294806,7842668
18,241.30369798136772,155452.1748309874,0.5843019836822909,6459697
19,219.82747649123553,97587.59091904113,0.696138304195548,12030804
20,252.5340560398584,153275.23241878938,0.6043767239152937,4100010
21,244.17021997117854,137927.16064146647,0.6226433074132119,5509039
22,205.1054517330469,93690.16375492177,0.6799699111134808,4625701
23,263.426627693743,145043.0682330268,0.5890210765760597,8471138
24,230.38009516792528,112915.79459921499,0.6326147005791655,4140004
25,216.2376824333577,101330.8333156986,0.6905981518981655,2907262
26,262.24163029176015,178369.9931819983,0.5490355826287963,1513044
27,228.52796779546983,146022.24410458465,0.6290928758670311,8719943
28,256.9445701730652,152864.03728848408,0.5831769646567166,11625262
29,210.95229664963716,87529.26019649363,0.7349866557435247,4989649
30,225.09096187361126,125740.76544589577,0.5983657253265116,6743014
31,220.64106791855127,108232.62970933269,0.6789281208234248,5656649
32,193.57154554030058,72005.69758935331,0.7710067190851277,11254874
33,278.28986346613203,205487.03406196492,0.4015003347870879,6492540
34,270.70508987003956,163173.459705739,0.45360168559323966,11638597
35,257.475191490751,168264.95515945271,0.4990112808344995,7288274
36,235.17315207199857,125477.95219839834,0.5950013637712623,10838846
37,215.6537917401223,123930.38975789919,0.6455154008020396,578650
38,221.84728620917858,127264.61548675828,0.6300372793555504,5949622
39,238.0249392450146,157827.56703929958,0.6329288685049539,8217326
40,239.62584670136494,133062.02723161282,0.6755895602702969,3084305
41,238.14525071038338,170386.84173076108,0.5052514298973532,11987014
42,228.63852353231323,111047.9672163316,0.6501889955687978,4598218
43,264.0699218027403,188965.3753557646,0.512927323085526,9860192
44,232.70465790072714,142298.49969678692,0.6334631669589277,8726102
45,222.9474084265518,149169.58953857372,0.6299613922991818,2619428
46,243.84979567445671,134344.0410894827,0.585819084111433,1735976
47,239.5689095148927,111999.78968664238,0.7274090318821387,11275728
48,223.44034362308636,116668.97221057187,0.6979577742753829,3211745
49,269.7993556923842,163039.44483106182,0.5761313810189532,8071261
50,236.72570503437242,133940.64944668752,0.6398959644303687,11392894
51,232.61051771944568,148959.50203002282,0.5985605000430558,3765789
52,228.0425131584202,133442.08084656563,0.6087893509145434,3297240
53,236.38623660515736,139002.86899624107,0.6089467051165722,5898863
54,266.1300728712502,217576.59626341742,0.4347978014164964,4224121
55,267.2957946275641,158606.37554741977,0.5661328238644341,10880091
56,245.6267407342634,129425.06272443257,0.5073765991234687,12167385
57,256.7760658905193,141664.49203651564,0.5830585284410603,8068339
58,246.26586484609214,129563.61198619171,0.6568954537142295,5438880
59,250.6579955995873,172617.86259980424,0.5416506198675616,3354391
60,225.8665828362723,110987.00313094223,0.7317108370581997,4891083
61,280.0148319071077,199541.7949886587,0.4850070011543888,5247760
62,235.8572198153755,135247.07365353918,0.5880303530428951,11276827
63,278.9267131200815,230423.6931409006,0.40742584792399217,11466372
64,230.82734833181905,118964.53528100299,0.6683405329231238,7228129
65,202.11657901622578,79317.83041488458,0.729984428562555,6304693
66,218.05571610519127,127051.72398162114,0.5838870677802861,11976232
67,207.7466060570525,104480.80200680836,0.7022494485735387,7250633
68,257.06158331456356,171860.64461409455,0.49793161490247373,11645884
69,235.15597969767603,115090.03063206126,0.7035488550554188,9374573
70,239.8048391396149,129132.96567048848,0.5810935058289975,7836957
71,232.96563006105856,122497.14446334208,0.6150061870153845,5371587
72,251.60138035562932,157884.01711562273,0.5237985509803087,6013006
73,229.8935391983903,131088.92138958152,0.5805481682452487,2469630
74,184.89318421537251,63855.11645231065,0.7957832432484185,6692881
75,232.62547402821147,118828.1363714199,0.639671388174043,865255
76,249.54193314597566,169388.4683393564,0.5241433639363318,12276036
77,263.1058602335802,170908.96421055417,0.5782104392231565,7725837
78,249.9054885041378,159341.39451724733,0.5877772068153565,8652888
79,259.1930022944095,146864.3463064559,0.5775522010437981,1112958
80,275.6455379658594,189277.81141214268,0.5684497662589738,5848538
81,256.07654993615745,160497.65356295338,0.5321501902758878,1380016
82,225.94662201273607,126896.19399718242,0.5931266708325922,7383737
83,240.36466166444504,141111.5710312892,0.6458646175954921,11616025
84,247.93434209739542,163908.08769820462,0.580898909411911,5861979
85,213.593474711388,101550.84999429196,0.7235389768901377,7531648
86,248.43408051989945,167441.90595669812,0.5092167294083321,9980661
87,249.5004187134514,163125.14417274165,0.597347679552908,10631887
88,240.8995364981584,144173.56157941496,0.5956025528930096,8809988
89,240.40403367532224,111730.17890730218,0.6820404225314445,8961971
90,269.96848075128804,160143.74181797315,0.5576306880894089,10901083
91,235.0849513957399,137241.52360644122,0.6371612544824499,10745905
92,227.03871379107014,121630.37399080192,0.5421714258461167,11342261
93,247.1587442691596,114947.90924749496,0.6709579794322591,5191027
94,249.40208925210823,142208.05378012834,0.6168024647110405,7086324
95,197.71109229719323,86098.79523344593,0.7166469768461354,4401111
96,241.2501595538731,130099.50294683315,0.576830303015223,8639749
97,238.3297868499263,147010.6845945452,0.599209615996975,11077792
98,215.10187373291348,110184.10272940298,0.7257233825536842,5905276
99,245.51705024221383,143515.01908772526,0.5989406096544041,2197869
100,238.07718594364005,164950.81648367507,0.4456287647763142,9961909
101,224.87693870546877,117984.80855085872,0.7050141885649243,8502275
102,225.1040804846608,127817.23829895243,0.6437677931001304,5609718
103,317.98632850183316,250023.74418872042,0.394102691842937,6582126
104,213.12029501406434,101181.89164764526,0.6738389486162271,10415403
105,258.9731952792366,163447.85745799143,0.5231505792813005,3936754
106,222.02883087945415,132674.2897188908,0.667379087445019,1187581
107,207.1081773115729,100457.85135753611,0.6044991910879421,4497769
108,239.54630020876107,112958.20854664527,0.7165169107306562,9018780
109,265.1251601709562,164547.44931314612,0.5185642119830096,7713992
110,269.0291313499021,179440.85481457456,0.492330428465661,2687736
111,199.33360444228222,94332.59330356085,0.6858715542340839,4473896
112,267.3049137972985,181862.29366701742,0.5444891368428937,4893450
113,248.61683004306545,135963.36560756803,0.6367825307247524,10695798
114,250.53325524628377,145541.88250901955,0.5708361681827718,1153513
115,231.541847250642,134119.32043747453,0.554759243866934,10460136
116,284.28611899904405,186371.09304250646,0.49061942056508745,491942
117,257.0214862749868,141241.80505135533,0.6117466578235629,3264582
118,223.5031751246337,122284.4739913291,0.5831640738034972,5590133
119,238.61706833654682,138801.53527354062,0.610771528334427,8761394
120,245.55983428874865,135133.98233745538,0.6920466459266146,3013611
121,189.98803884156615,104476.8641081498,0.713774147125969,3544328
122,220.32880014554513,114094.42915880813,0.6883626287541745,11011238
123,237.52687826035455,113251.32452200419,0.6940921412178789,3951746
124,265.6722567424165,163880.88678472,0.5791065217890736,11761159
125,225.0565366880331,120985.41755061015,0.6508551153754629,6580964
126,236.4092641311343,138986.19718331148,0.6392080369138748,9639868
127,212.35466059477952,114654.20896407781,0.5753900130227951,2289650
128,243.11880153398087,124657.74801861515,0.6558104617897514,1956559
129,232.60816524350346,130249.93757923432,0.7045378388678168,10613406
130,220.1508755106568,117304.2713961888,0.6978499347284177,359579
131,223.09111214331855,123819.34602760899,0.6881817047538535,791743
132,229.3249267383758,136027.56572824408,0.6044034449228457,11888023
133,274.1938079547125,167024.51878948684,0.6016680263916923,4355953
134,273.9128117083817,188762.74428633857,0.5141678062093881,1932632
135,240.90571437565214,137671.20275561075,0.6449714411917954,11124233
136,249.8675869579334,149275.87363269995,0.5850967994308387,6843345
137,242.40925724993915,139904.9040322602,0.631289066830574,2312171
138,233.57580414236972,111292.14998514757,0.6799232656575096,2089670
139,175.18409021384824,69968.95071590798,0.7980694089419046,2607704
140,243.6921758280626,143834.03680748443,0.6298910629172099,1673950
141,209.67043461939318,122637.64279766408,0.7036834226090336,8485073
142,254.3605772724673,123375.0615349119,0.6415648465882713,72330
143,261.44625499856517,172866.22046036468,0.5308123351759756,3243358
144,238.73637594376405,111195.52304601052,0.6025654217516654,10884280
145,264.6351631942752,176754.49153918997,0.5181308675695747,1787779
146,283.73218525444025,185124.61189106258,0.5520334559932403,2655961
147,239.7600698735955,113733.98265743196,0.7077694697203101,11552222
148,215.39960284469444,94742.66164803547,0.6708759038828769,9241431
149,191.25376999511747,87556.5926443333,0.7205876538939133,9897050
150,245.3482480706777,131400.42023651002,0.5182866538205021,5925259
151,192.3397138899036,105081.34269010632,0.7037934480134662,1165261
152,217.3621546029154,105004.08562699315,0.6704217686344589,4909517
153,213.6412770550678,102475.1817482807,0.6900473613744229,205507
154,261.1075770092814,168625.3159364625,0.588253035411995,2367843
155,226.71240514786996,140523.33168125982,0.4981085985310263,4560134
156,272.4225211489789,177413.46279964875,0.6081982813387792,6998015
157,250.65028703677947,131321.29863761005,0.6064431186188439,4468655
158,230.5849236765765,129357.74542375415,0.6410579129097349,11158092
159,204.2115106947944,92244.61004101376,0.7379671527509345,9311230
160,216.87823949769196,126137.7081910882,0.6412045618170255,4642961
161,223.83462832623738,128237.1449428821,0.6195757083158919,5946283
162,238.02913634548833,122553.50017042054,0.6750781404070747,443480
163,206.51896219363192,137884.0865545395,0.6087302567046413,2287588
164,245.50854557126544,166855.74525851992,0.5520366386544473,8719339
165,278.5531365501207,175920.85542938,0.5462261206009107,2297427
166,265.31032158716056,152007.78760981397,0.5454756329118617,11849958
167,260.0563215980488,171901.70120969255,0.5191362257676795,4841032
168,249.24462554595638,134505.87751030264,0.6268683647083382,11461726
169,240.38986605458064,124070.33296113776,0.6972610714221928,4543172
170,227.58778945571046,122343.95255447134,0.6399281255574083,7275524
171,245.94581420611954,136568.13155406824,0.6514529335622607,10782881
172,288.1490161955149,222530.94520525157,0.4635082654081597,2566923
173,220.29130673387746,111114.364699176,0.650883843426943,10305383
174,226.20280279852335,100197.47516765406,0.7151495000462222,2399243
175,225.19974336404843,136273.09025342856,0.5532042278296097,4033143
176,195.5748211639337,98209.39662588046,0.7024794947757477,7013162
177,220.49332372632446,111244.88194891794,0.6539254838875894,6810709
178,235.93341098349146,130472.55120753725,0.6357795530304964,7669084
179,190.7390740002732,71722.65365883012,0.7553631001403371,9718050
180,242.46063943183574,143904.9160932002,0.5552399749630809,3541980
181,202.07758406893115,87610.89264727288,0.7612395153912592,7042875
182,225.93940226812492,138957.81033494446,0.5706596508726921,12251111
183,225.2152341674517,136699.80067895027,0.5209281516717845,11590284
184,267.7436475859618,184835.25542381156,0.4384214004966681,548503
185,264.53584609380624,148265.37290351078,0.546131181333336,1430544
186,218.3381493171806,119452.68456700446,0.6335665492386913,12056220
187,235.25581698891457,141717.36726035216,0.6181632715209979,6443651
188,257.8778098161217,145482.95381378473,0.5808116082681161,5253784
189,234.78634061251958,141918.106280378,0.5273009607162276,11772791
190,246.17523322176527,182979.9810740604,0.4861154546751394,10046962
191,264.6946699170529,155894.14105731135,0.5136079522310337,9373413
192,210.52708784504068,124816.29686214835,0.6850333686985082,3179360
193,208.67073998561676,94449.74932297555,0.6908324701379629,10213504
194,266.3728320997079,177275.90325414183,0.5476441101976515,3760544
195,243.56324432070784,132468.56067800237,0.6329274469733892,3741648
196,241.09258112878464,141755.93297001268,0.5885964864513038,5662946
