Times,MAE,MSE,R2,random_state
106,253.94449507660622,142382.10565353086,0.6430411196146473,1187581
107,226.64514958203353,109921.8677470623,0.5672395236051797,4497769
108,285.3825140170658,157685.7586834762,0.604267396052824,9018780
109,279.90438585457645,177274.28445679063,0.4813278164513938,7713992
110,281.7985467861997,177893.4829555558,0.4967082141682764,2687736
111,197.51865859304849,91196.43601047357,0.6963149882758548,4473896
112,255.4549404461332,154488.6104996489,0.6130520576987555,4893450
113,249.927716201828,141889.85027076426,0.6209503045111283,10695798
114,262.3537554076849,158768.19939825026,0.5318353201852243,1153513
115,238.61793588946475,123313.76012570692,0.5906308530277913,10460136
116,293.480335823236,192635.22760829097,0.4734985868419638,491942
117,254.37815333705734,137830.36169640737,0.6211242233660208,3264582
118,224.6953178426198,127050.87064095063,0.5669166689023175,5590133
119,242.6723302142396,137362.3216901106,0.6148073835746074,8761394
120,254.77813644758822,143651.24351157417,0.6726368786666002,3013611
121,212.96546173377055,116979.64209456727,0.6795214125803324,3544328
122,219.656887290944,124303.02287538776,0.6604788895268774,11011238
123,244.12242502439855,129552.564685859,0.6500601840194529,3951746
124,291.8819649932626,185287.99936603958,0.5241268701068095,11761159
125,226.60561672447278,128965.79935292935,0.6278249887697922,6580964
126,274.247143388094,159546.54089477626,0.585835781828709,9639868
127,250.06652277678916,147558.94048556878,0.4535307481160341,2289650
128,231.30242235199137,126070.6582680083,0.6519093089613004,1956559
129,252.330812491525,145313.45643291215,0.6703673823019121,10613406
130,245.84951313761047,135517.26115694846,0.6509372692346105,359579
131,254.93686874153948,171264.5451614747,0.5686989132017389,791743
132,251.97845227287516,157877.3434885995,0.5408597303461518,11888023
133,274.0034940457201,166187.76247698368,0.6036635824681547,4355953
134,273.6306127303632,182509.2975515682,0.5302627499303674,1932632
135,239.30706599284744,147581.05132386592,0.6194157753388522,11124233
136,233.1422594789487,126809.74209453477,0.647540043960279,6843345
137,240.23674143343018,144640.90321636974,0.6188076267356648,2312171
138,248.124753495059,136076.895935557,0.6086422225077994,2089670
139,224.97440105839064,110628.69043051562,0.6807252843147458,2607704
140,268.95142956322894,166986.7419909245,0.5703152956215769,1673950
141,202.65550828235442,123071.5173098576,0.7026350967643948,8485073
142,266.49752027577074,142139.0616034239,0.5870507725160846,72330
143,240.90049503218853,161965.339626999,0.5603991382489595,3243358
144,286.64949683780833,164223.70771195245,0.41303230359489473,10884280
145,269.82347906322667,195755.60475594728,0.4663299211764187,1787779
146,305.9222862899389,201076.66689303954,0.5134325002583732,2655961
147,255.57478525758594,149983.62297071502,0.6146288677323737,11552222
148,217.32516501308385,97631.15153562558,0.6608416531360672,9241431
149,223.48268026593695,101237.23962633891,0.6769297001745512,9897050
150,260.46289906657364,123319.98462413905,0.5479094942225123,5925259
151,222.27806199462415,129020.7907543128,0.6363121883908963,1165261
152,241.7925937844855,120284.24762216402,0.6224616465565731,4909517
153,238.51555668504764,128189.75386199533,0.6122695097834716,205507
154,298.8616760966854,207017.81075693786,0.4945067724769099,2367843
155,263.3345154476323,169784.84654859427,0.39359853226542374,4560134
156,293.23524653717783,211569.38014449412,0.5327680016577294,6998015
157,248.09206557860793,128285.5025940503,0.6155410976657131,4468655
158,252.09910900477135,143120.94778323788,0.6028677561179981,11158092
159,250.09818472755447,140369.52610741789,0.6012620512290637,9311230
160,246.48832794566317,150733.43504529804,0.5712426549404863,4642961
161,272.76527456098717,187006.557034533,0.44523221386570055,5946283
162,269.9760304421913,165971.2416544151,0.559966182913515,443480
163,227.70576444423116,144377.5535907499,0.5903039303326713,2287588
164,243.93083901595875,177497.8310583779,0.5234654646787119,8719339
165,299.7626589352053,174545.9884772175,0.5497724807468847,2297427
166,306.35110278810197,191138.12937826305,0.4284704839921193,11849958
167,271.32565817953105,173027.0973146139,0.5159881346510087,4841032
168,256.70805879737304,150959.93615430768,0.5812232975732441,11461726
169,226.71041128203373,124371.94966427932,0.6965251088808587,4543172
170,234.5821412427569,125943.18089394848,0.6293351958074445,7275524
171,274.3186642561256,175408.36612815032,0.55232548950559,10782881
172,297.03453302134847,267907.3961839708,0.35411183574422744,2566923
173,242.01773459844787,123190.08727908866,0.6129424857424055,10305383
174,255.5946099270454,133502.31712519776,0.6204674647293238,2399243
175,221.55028966704782,126109.70745403944,0.586526701527619,4033143
176,216.81257876139347,100164.22018127263,0.6965574535881809,7013162
177,241.51137516075875,126089.94571962471,0.6077435996417659,6810709
178,271.07018275679013,164874.69627204625,0.5397442985946856,7669084
179,194.22162580973603,78975.81793025322,0.7306234742199935,9718050
180,248.73877813064263,148147.76727210727,0.5421267982364673,3541980
181,222.61429229749103,102459.38985472823,0.7207738349051931,7042875
182,239.0999556811195,153246.24814717827,0.5265124175217821,12251111
183,226.33808275111198,126000.26130308335,0.5584252663683562,11590284
184,299.0890251848258,199270.41154976352,0.3945635621084419,548503
185,258.226228220315,158109.26550508643,0.5159971330477241,1430544
186,217.2051897216354,116383.24039579654,0.6429823863431641,12056220
187,240.44314488069026,145738.8646084854,0.6073279348175071,6443651
188,268.41130632509953,170783.70942932458,0.5079110877737716,5253784
189,267.7368144751163,161850.668741427,0.4609098329542278,11772791
190,265.2094149499696,195902.92852171784,0.4498223971810049,10046962
191,277.60046805702876,157449.9542822254,0.5087537917393076,9373413
192,263.83946955459436,169166.421051351,0.573118421974014,3179360
193,244.67721605646165,114561.26521853295,0.6250003452696542,10213504
194,249.87805879521457,168149.73238176436,0.5709314102180287,3760544
195,272.1381208786168,172123.3656646828,0.5230433323447448,3741648
196,288.78101870689335,195957.43376546697,0.4312931030960587,5662946
197,243.2001532378893,113875.41103025265,0.6724611677368568,3591994
198,293.5484201574039,181349.18780327318,0.5134207815278575,12141418
199,280.2659363372192,181379.23640869698,0.5383218499777778,10414647
