Composition,YS (MPa),radius,radius_diff,VEC,VEC_diff,Hmix,Smix,allen_en,allen_diff,ion,ion_diff,melting,melting_diff,GGA,GGA_diff,c11,c11_diff,delta
Al0.08Hf0.12Nb0.2Ta0.2Ti0.2Zr0.2,1841,1.5188000000000001,5.11,4.32,14.22,-6.33,14.5,1.35704,0.105,6.920076000000001,7.68,2388.64,26.68,-2.4344,147.37,193.61800000000005,27.1,0.56
Al0.0909Co0.1818Cr0.1818Cu0.0909Fe0.1818Ni0.1818Ti0.0909,1580,1.2980520000000002,5.76,7.64,32.19,-10.84,15.74,1.7437347,0.148,7.355518920000001,8.5,1735.0173899999995,18.63,-1.4144039999999998,266.09,243.562005,29.87,0.47
Al0.0909Co0.1818Cr0.1818Fe0.1818Mn0.1818Ni0.1818,1932,1.2935070000000002,4.47,7.54,26.14,-8.79,14.7,1.7682776999999996,0.09,7.3840069800000006,8.05,1711.7833500000002,18.11,-1.508031,236.82,284.948775,28.35,0.74
Al0.0909Cr0.1818Fe0.3636Mn0.2273Ni0.1364,994,1.300454,4.33,7.23,24.65,-6.79,12.51,1.7552786999999999,0.082,7.379297579999999,8.07,1709.71845,18.39,-2.7906739999999997,150.65,276.82255499999997,31.22,0.67
Al0.0909Hf0.1818Nb0.1818Ta0.1818Ti0.1818Zr0.1818,1302,1.528029,5.55,4.27,14.44,-7.67,14.7,1.3472288999999997,0.118,6.8954922000000005,7.57,2370.26295,26.96,-2.6570069999999997,138.57,191.61810899999998,26.81,0.48
Al0.0999Nb0.2001Ta0.1599Ti0.3V0.0399Zr0.2001,2035,1.48788,4.24,4.3,14.89,-8.61,13.78,1.3957653,0.085,6.85712907,7.42,2255.74035,28.76,-2.2125209999999997,150.95,188.13922200000002,28.32,0.77
Al0.1007Co0.1799Cr0.1799Fe0.1799Mn0.1799Ni0.1799,526,1.2953610000000002,4.58,7.5,26.88,-9.24,14.75,1.7671370999999998,0.091,7.37118374,8.26,1703.92855,18.7,-1.461633,244.99,283.118325,29.11,0.7
Al0.1103Co0.1779Cr0.1779Fe0.1779Mn0.1779Ni0.1779,833,1.296289,4.67,7.45,27.61,-9.65,14.79,1.7647819,0.092,7.353401020000001,8.46,1694.9921499999998,19.27,-1.4148329999999998,253.63,281.11512500000003,29.86,0.68
Al0.1111Cr0.2222Fe0.2222Mn0.2222Ni0.2222,1091,1.3032030000000001,4.59,7.22,28.29,-9.28,13.14,1.7523803,0.093,7.27373922,8.3,1699.33005,20.09,-1.4009710000000002,281.25,280.03310500000003,31.62,0.62
Al0.1111Mo0.1111Nb0.2222Ta0.1111Ti0.2222Zr0.2222,2350,1.485407,4.5,4.44,18.73,-10.52,14.43,1.4039707,0.087,6.82267322,6.89,2298.71455,28.54,-1.9453610000000001,164.02,215.00960800000004,47.37,0.71
Al0.1111Mo0.2222Nb0.2222Ti0.2222V0.2222,1625,1.416525,3.55,4.78,19.17,-8.99,13.14,1.4657422999999998,0.075,6.75903514,4.49,2264.38465,26.54,-1.2209889999999999,240.41,256.56878500000005,46.43,1.04
Al0.1111Nb0.2222Ta0.2222Ti0.2222V0.2222,1014,1.438745,3.86,4.56,15.02,-8.39,13.14,1.4355231,0.093,6.93626186,8.16,2348.5984500000004,29.84,-0.7943649999999999,422.58,211.357751,24.22,0.88
Al0.1228Co0.1754Cr0.1754Fe0.1754Mn0.1754Ni0.1754,2230,1.2981639999999999,4.79,7.38,28.57,-10.18,14.83,1.7626444000000001,0.093,7.33416552,8.7,1684.2884,19.98,-1.354908,265.58,278.6645,30.81,0.65
Al0.1228Cr0.1754Fe0.3509Mn0.2193Ni0.1316,942,1.304997,4.62,7.08,27.06,-8.1,12.72,1.7502894,0.085,7.330438679999999,8.71,1682.4827,20.23,-2.5931749999999996,164.21,270.84808,33.41,0.6
Al0.12Cr0.2001Fe0.2001Ni0.4798,441,1.2788080000000002,4.71,7.96,30.04,-10.7,10.4,1.7859289999999999,0.108,7.31901888,8.55,1728.1486,19.14,-0.0067109999999999115,58412.14,245.06496,26.35,0.47
Al0.1304Cr0.2174Fe0.2174Mn0.2174Ni0.2174,1130,1.3060820000000002,4.75,7.13,29.62,-10.06,13.24,1.7495272,0.094,7.2465026,8.64,1682.8778000000002,21.13,-1.308862,301.51,276.30026,32.99,0.59
Al0.1304Hf0.1739Nb0.1739Ta0.1739Ti0.1739Zr0.1739,1415,1.523763,5.6,4.22,15.56,-11.55,14.85,1.3587708,0.127,6.85593611,7.92,2307.8253,29.91,-2.4177160000000004,156.01,187.92975700000002,28.27,0.47
Al0.1304Mo0.2174Ta0.2174Ti0.2174V0.2174,962,1.4234780000000002,3.97,4.74,19.88,-10.02,13.24,1.4525588,0.094,6.98881838,8.2,2350.5132000000003,31.67,0.20206799999999997,1564.79,256.327722,46.74,0.84
Al0.1334Co0.1666Cr0.1666Fe0.1666Ni0.1666Ti0.2,1272,1.326092,7.0,6.7,37.59,-21.97,14.84,1.6856962,0.179,7.19366644,9.3,1749.3001,19.84,-1.8396960000000002,213.01,233.47905000000003,33.13,0.3
Al0.1364Co0.1818Cr0.1818Cu0.0455Fe0.1818Ni0.1818Ti0.0909,1900,1.305005,6.09,7.27,34.75,-14.39,15.55,1.7331362000000001,0.148,7.277094259999999,9.36,1715.9019999999996,20.76,-1.3083369999999999,294.15,240.77830999999998,31.85,0.42
Al0.1398Cr0.2001Fe0.2001Ni0.46,461,1.28257,4.95,7.82,31.59,-11.48,10.61,1.7806424,0.109,7.28626968,8.94,1712.4571,20.37,0.007545000000000135,52075.31,242.26623,27.81,0.43
Al0.1428Co0.1428Cu0.1428Fe0.1428Ni0.4288,268,1.277128,5.0,8.71,28.59,-5.96,12.26,1.8204524,0.089,7.487917920000001,8.31,1577.7878799999999,18.85,0.0022799999999999487,153874.87,221.78910000000002,27.19,0.49
Al0.1429Co0.1429Cr0.1429Cu0.1429Fe0.1429Mn0.1429Ni0.1429,1005,1.3018189999999998,4.81,7.72,32.27,-5.64,16.18,1.7695307000000002,0.095,7.33582866,8.96,1606.0673900000002,22.06,-0.907415,375.48,255.65524499999998,36.02,0.7
