Composition,YS (MPa),radius,radius_diff,VEC,VEC_diff,Hmix,Smix,allen_en,allen_diff,ion,ion_diff,melting,melting_diff,GGA,GGA_diff,c11,c11_diff,delta
Al0.2001Nb0.3Ta0.0999Ti0.3Zr0.0999,1280,1.473834,3.08,4.2,17.82,-15.12,12.51,1.4248959,0.098,6.72482619,7.42,2127.8539499999997,34.53,-2.0696519999999996,164.5,184.353312,30.93,1.32
Al0.2041Cr0.2041Fe0.2041Mo0.102Ni0.2041Ti0.0816,2185.1,1.3291750000000002,6.22,6.45,38.11,-16.06,14.42,1.6796143,0.155,7.05541132,9.73,1799.0625499999999,30.41,-0.715003,579.06,248.45390500000002,42.66,0.37
Al0.2083Co0.2083Cu0.2083Fe0.2083Ni0.1667,1021,1.294034,5.48,8.12,34.71,-5.03,13.35,1.7929509000000001,0.096,7.4174881400000015,9.99,1509.63283,22.39,-0.973883,396.68,209.695915,33.18,0.44
Al0.2083Cr0.2083Fe0.2083Mo0.1667Ni0.2083,1513,1.3211220000000001,5.61,6.62,35.91,-11.14,13.35,1.6912759000000002,0.14,7.07594328,9.75,1856.02225,33.0,-0.19948300000000002,1975.49,269.07018500000004,42.9,0.42
Al0.2105Co0.1579Cr0.2105Fe0.2105Ni0.2105,1331,1.29829,5.47,7.1,35.36,-12.58,13.33,1.7520375000000001,0.107,7.2002969000000006,10.47,1667.9409500000002,24.35,-0.707856,558.68,242.287915,33.52,0.45
Al0.2105Cr0.2105Fe0.2105Mo0.1053Ni0.2105Ti0.0526,2161.7,1.324604,6.05,6.53,37.63,-14.67,14.17,1.6888805000000002,0.148,7.06188004,9.85,1794.7665499999998,30.93,-0.5634189999999998,730.32,251.166675,42.42,0.39
Al0.2222Co0.1111Cr0.2222Fe0.2222Ni0.2222,1349,1.300981,5.54,7.0,36.26,-12.84,13.14,1.7471586000000001,0.108,7.1625059,10.56,1662.3893,25.06,-0.6366029999999999,636.37,238.68723999999997,34.33,0.43
Al0.2222Co0.2222Cu0.2222Fe0.2222Ni0.1111,929,1.297648,5.53,8.0,35.84,-4.54,13.14,1.7871546000000003,0.096,7.4027041,10.3,1495.20602,23.03,-1.180993,330.49,207.13484000000003,34.34,0.43
Al0.2222Cr0.1111Nb0.2222Ti0.2222V0.2222,1300,1.4109699999999998,4.41,4.44,21.53,-15.4,13.14,1.5016276,0.103,6.59982884,5.0,1962.5815,31.49,-1.0565609999999999,294.73,203.14635,35.05,0.68
Al0.2222Cr0.2222Fe0.2222Mo0.1111Ni0.2222,1749,1.316535,5.65,6.67,36.72,-11.85,13.14,1.7060516,0.132,7.074892440000001,10.07,1787.0435,31.86,-0.28886,1403.59,256.08549999999997,41.91,0.41
Al0.2222Nb0.2222Ti0.2222V0.2222Zr0.1111,1480,1.4443000000000001,5.07,4.22,18.62,-17.18,13.14,1.4649645999999998,0.102,6.58515253,4.94,1962.026,31.49,-1.567621,199.45,181.32631,29.79,0.51
Al0.225Cu0.2Fe0.1501Ni0.2Ti0.225,980,1.3456260000000002,7.16,6.98,47.03,-19.96,13.3,1.689605,0.193,7.14254024,10.17,1532.8633,24.57,-1.233276,335.67,177.76135000000002,28.38,0.26
Al0.2278Cr0.2574Fe0.2574Ni0.2574,770,1.303874,5.52,6.86,37.04,-12.74,11.51,1.7393834000000004,0.108,7.1056959200000005,10.46,1670.5649,25.66,-0.565698,758.5,233.81551000000002,34.84,0.38
Al0.2353Co0.0588Cr0.2353Fe0.2353Ni0.2353,1363,1.304119,5.6,6.88,37.27,-13.07,12.71,1.7418799,0.108,7.1209810000000004,10.64,1656.35015,25.83,-0.5570229999999999,745.96,234.68642499999999,35.19,0.41
Al0.2353Nb0.2353Ti0.2353V0.2353Zr0.0588,1360,1.43529,4.5,4.24,19.02,-16.83,12.71,1.4736509,0.099,6.582981080000001,5.08,1952.6427500000002,32.49,-1.442885,219.95,183.577475,29.84,0.63
Al0.2381Cr0.2381Fe0.2381Mo0.0476Ni0.2381,1487,1.311427,5.66,6.71,37.69,-12.65,12.57,1.7231002999999998,0.12,7.074399640000001,10.43,1708.42875,29.51,-0.39098299999999997,1068.66,241.278885,39.41,0.39
Al0.2439Nb0.2439Ti0.2439V0.2439Zr0.0244,1290,1.42927,4.01,4.24,19.34,-16.51,12.2,1.4792667,0.096,6.58112004,5.17,1946.34325,33.15,-1.3607549999999997,235.26,185.045925,29.84,0.76
Al0.2499Co0.1667Cr0.1667Fe0.1667Ni0.1667Ti0.0832,1566,1.3214959999999998,6.53,6.58,40.42,-19.32,14.53,1.7131437,0.145,7.0964972999999985,10.85,1633.02165,26.02,-0.8647739999999997,453.8,227.05920500000002,37.44,0.34
Al0.25Co0.25Cr0.25Ni0.25,1750,1.305,5.8,7.0,39.12,-15.5,11.53,1.74575,0.116,7.068150000000001,10.61,1639.375,26.64,0.975,189.43,250.43750000000003,35.63,0.34
Al0.25Co0.25Fe0.25Ni0.25,964,1.295,6.04,7.5,35.9,-13.75,11.53,1.78325,0.102,7.352250000000001,10.82,1558.875,23.24,-1.1925,353.67,221.9875,32.81,0.32
Al0.25Cr0.25Mo0.25Ti0.25,1100,1.3975,4.51,4.75,27.35,-14.0,11.53,1.5282499999999999,0.109,6.6681,6.19,1971.625,35.39,-0.15249999999999986,2086.99,268.1625,52.94,0.57
Al0.25Cu0.25Ni0.25Ti0.25,300,1.355,7.16,7.0,50.51,-23.25,11.53,1.68075,0.202,7.04505,10.0,1487.275,25.59,-0.0024999999999999467,131590.08,171.3875,29.4,0.22
Al0.25Mo0.25Nb0.25Ti0.25,1100,1.4374999999999998,2.17,4.5,24.85,-15.25,11.53,1.46825,0.09,6.666325,6.18,2124.375,36.62,-1.15,288.33,244.8375,55.47,2.45
Al0.25Nb0.25Ta0.125Ti0.25Zr0.125,1352,1.4762499999999998,3.42,4.13,18.9,-18.56,12.97,1.4324999999999999,0.108,6.708712499999999,8.3,2076.125,37.93,-1.51375,234.24,179.36625,32.96,1.11
Al0.25Nb0.25Ta0.25Ti0.25,1152,1.4625,1.48,4.25,19.51,-16.0,11.53,1.4342499999999998,0.107,6.865724999999999,9.87,2219.125,39.73,-0.6699999999999999,556.14,193.97,32.35,5.26
Al0.25Nb0.25Ti0.25V0.25,1000,1.4249999999999998,3.6,4.25,19.51,-16.25,11.53,1.48325,0.094,6.5798000000000005,5.23,1941.875,33.6,-1.3025,247.19,186.08749999999998,29.82,0.89
Al0.2727Cr0.2424Fe0.2424Ni0.2424,1044,1.3110810000000002,5.78,6.64,39.55,-13.72,11.51,1.7318571,0.109,7.03983534,10.9,1627.5190499999999,27.67,-0.36693300000000006,1155.52,226.40008500000002,37.31,0.34
Al0.2857Co0.1429Cr0.1429Cu0.1429Fe0.1429Ni0.1429,1620,1.312965,5.81,7.14,41.97,-8.65,14.53,1.7496308000000003,0.11,7.12768372,11.28,1522.49854,28.02,-0.07059099999999974,4966.45,214.72877,39.71,0.43
Al0.287Cr0.2377Fe0.2377Ni0.2377,906.8,1.31367,5.85,6.57,40.32,-13.99,11.5,1.7298719999999999,0.109,7.020583739999999,11.02,1614.2473,28.26,-0.303994,1388.94,224.10127999999997,38.05,0.34
Al0.2999Co0.1667Cr0.1667Fe0.1667Ni0.1667Ti0.0333,1324,1.319643,6.31,6.53,41.61,-17.2,13.88,1.7249317000000002,0.126,7.055060119999999,11.42,1583.2399500000001,28.11,-0.44732499999999986,861.17,224.29294499999997,39.21,0.35
Al0.2Co0.1666Cr0.1666Fe0.1666Ni0.1666Ti0.1334,1503,1.3234279999999998,6.74,6.63,39.23,-20.86,14.84,1.7012139999999998,0.161,7.137562599999999,10.23,1682.7334,23.63,-1.2829199999999998,308.01,229.77276,35.63,0.33
Al0.2Co0.2667Fe0.2667Ni0.2667,794,1.286125,5.63,7.8,32.16,-11.95,11.47,1.794784,0.095,7.444127440000001,9.89,1600.7434,20.92,-1.462254,288.63,229.69603999999998,29.89,0.36
Al0.2Co0.2Cr0.2Fe0.2Ni0.2,1051,1.296,5.4,7.2,34.47,-12.32,13.38,1.7566000000000002,0.106,7.235000000000001,10.36,1673.1000000000001,23.69,-0.772,500.63,245.55,32.75,0.46
Al0.2Co0.2Cu0.2Fe0.2Ni0.2,994,1.292,5.44,8.2,33.97,-5.28,13.38,1.7966000000000002,0.095,7.42708,9.79,1518.4200000000003,21.99,-0.8500000000000001,451.05,211.25,32.47,0.45
Al0.2Cr0.2Cu0.2Fe0.2Mn0.2,1010,1.324,4.6,7.0,37.25,-1.76,13.38,1.7326000000000004,0.089,7.1629200000000015,9.83,1549.02,26.17,-1.298,288.42,246.77000000000004,42.97,0.63
Al0.2Cr0.2Cu0.2Fe0.2Ni0.2,1511,1.302,5.15,7.6,37.77,-4.0,13.38,1.7586000000000004,0.108,7.204080000000001,10.06,1590.82,25.81,-0.26999999999999996,1421.09,217.79000000000002,35.95,0.5
Al0.2Cr0.2Fe0.2Mo0.1Ni0.2Ti0.1,2228.7,1.332,6.32,6.4,38.4,-16.88,14.53,1.6736,0.159,7.050860000000002,9.65,1801.8000000000002,30.07,-0.8109999999999999,512.11,246.74,42.81,0.36
Al0.2Cr0.2Fe0.2Ni0.4,774,1.294,5.52,7.4,35.86,-13.44,11.08,1.7646000000000002,0.113,7.186760000000001,9.92,1664.7000000000003,23.71,0.052000000000000046,7606.66,233.75,31.93,0.36
Al0.2Cr0.2Mo0.2Nb0.2Ti0.2,1010,1.4100000000000001,4.37,4.8,24.3,-13.6,13.38,1.5046000000000002,0.108,6.68626,5.55,2125.5,32.74,-0.7380000000000001,417.09,263.83000000000004,48.24,0.7
Al0.2Cr0.2Nb0.2Ti0.2V0.2,1550,1.4000000000000001,4.84,4.6,22.17,-14.56,13.38,1.5166000000000002,0.107,6.61704,4.79,1979.5,29.73,-0.8600000000000001,350.31,216.83000000000004,36.44,0.57
Al0.2Cu0.2Fe0.2Ni0.2Ti0.2,1074,1.336,7.09,7.2,44.27,-17.6,13.38,1.7046000000000003,0.187,7.21652,9.94,1551.42,23.45,-1.554,275.18,182.31,27.47,0.27
Al0.2Li0.2Mg0.2Sn0.2Zn0.2,600,1.5160000000000002,6.25,4.4,89.3,-6.08,13.38,1.4460000000000002,0.316,7.1523200000000005,19.54,721.4040000000001,24.87,-0.3599999999999999,519.82,83.744,59.74,0.34
Al0.2Mo0.1Nb0.2Ta0.1Ti0.2Zr0.2,2000,1.48,4.43,4.3,20.93,-16.84,14.53,1.425,0.104,6.7396,7.6,2162.4,34.46,-1.4660000000000002,228.63,204.20300000000003,49.93,0.74
Al0.2Mo0.2Nb0.2Ti0.2V0.2,1375,1.418,3.38,4.6,22.17,-12.8,13.38,1.4806000000000001,0.084,6.68232,5.54,2131.5,32.65,-0.8140000000000002,373.58,241.61,50.34,1.17
Al0.2Nb0.2Ta0.2Ti0.2V0.2,993,1.438,3.66,4.4,18.18,-13.44,13.38,1.4534,0.103,6.84184,8.88,2207.3,35.74,-0.43000000000000005,783.06,200.91600000000003,28.78,1.0
Al0.2Nb0.2Ti0.2V0.2Zr0.2,1500,1.46,5.73,4.2,17.82,-17.44,13.38,1.4506000000000001,0.106,6.59062,4.68,1978.5,29.73,-1.78,170.45,177.55,29.57,0.41
Al0.3029Cr0.2324Fe0.2324Ni0.2324,1122.8,1.3162669999999999,5.92,6.49,41.17,-14.27,11.47,1.7272697,0.11,6.9975245,11.15,1599.07075,28.9,-0.2336629999999998,1797.82,221.484935,38.87,0.33
Al0.3125Li0.1563Mg0.3125Sn0.0625Zn0.1563,546,1.5060840000000002,6.0,3.84,93.71,-3.89,12.31,1.412875,0.268,7.03000804,18.86,806.227946,20.34,0.020166000000000017,10301.31,84.351984,54.63,0.34
Al0.3333Co0.1667Cr0.1667Fe0.1667Ni0.1667,1241,1.3184539999999998,6.15,6.5,42.37,-15.45,12.98,1.7328518999999998,0.11,7.027606779999999,11.77,1550.04995,29.35,-0.16865199999999997,2239.98,222.45047499999998,40.37,0.34
Al0.6498Cr0.05Cu0.05Mg0.05Si0.1501Zn0.05,490,1.405489,4.91,4.1,63.08,-11.63,9.68,1.6549303000000002,0.142,6.6903765900000005,15.74,1114.3664500000002,32.98,1.2293890000000005,197.69,130.82440300000002,42.71,0.4
Al0.6498Cu0.05Fe0.05Mg0.05Si0.1501Zn0.05,422,1.403489,5.16,4.2,64.15,-11.76,9.68,1.6624303000000002,0.145,6.7471965900000015,16.09,1098.26645,29.82,0.7958890000000002,392.41,125.13440299999999,29.46,0.36
Al0.6498Cu0.05Mg0.05Mn0.05Si0.1501Zn0.05,622,1.407989,4.68,4.15,63.42,-13.37,9.68,1.6599303,0.143,6.723776590000001,15.84,1083.7164500000001,27.78,1.0333890000000003,251.63,133.48440300000001,49.51,0.44
Al0.6498Cu0.05Mg0.05Ni0.05Si0.1501Zn0.05,534,1.402489,5.32,4.3,66.63,-13.78,9.68,1.6664303000000003,0.15,6.734066590000001,15.93,1094.1664500000002,29.15,1.2903890000000005,188.85,126.239403,31.74,0.34
Al0.6498Cu0.05Mg0.05Si0.1501Zn0.05Zr0.05,565,1.4204890000000001,5.39,4.0,63.74,-18.33,9.68,1.6384303000000002,0.159,6.683771590000001,15.75,1114.11645,32.92,0.9993890000000004,265.84,121.004403,24.1,0.33
Al0.8013Cu0.0497Li0.0497Mg0.0497Zn0.0497,488,1.4344729999999999,4.05,3.7,71.36,-1.13,6.44,1.5727927000000002,0.175,6.294695440000002,14.09,923.113694,14.87,2.103009,76.45,105.655606,28.26,0.39
Al0.8013Li0.0497Mg0.0497Sn0.0497Zn0.0497,415,1.451371,4.14,3.35,61.2,-0.52,6.44,1.5715005000000002,0.173,6.275680220000002,13.7,880.7941440000001,14.54,2.052315,81.45,101.033009,26.57,0.38
C0.0081Co0.1968Cr0.1968Fe0.1968Mn0.1968Nb0.0081Ni0.1968,732,1.2787169999999999,4.27,7.94,18.54,-6.22,13.95,1.7874833999999997,0.11,7.5502012800000005,7.11,1814.3073,15.44,-1.9879020000000005,173.56,308.34344999999996,28.96,0.77
C0.0244Hf0.122Mo0.122Nb0.2439Ti0.2439Zr0.2439,1183,1.500391,8.57,4.49,15.65,-10.64,13.6,1.3853626,0.203,6.90458822,10.16,2409.4301,17.59,-3.838844,58.65,239.50397,66.87,0.19
C0.0513Mo0.2564Nb0.2564Re0.1282Ta0.0513W0.2564,1074,1.391018,8.43,5.72,13.1,-24.03,13.43,1.5194014,0.247,7.59017171,13.08,3193.6807000000003,12.75,-1.9163960000000002,141.65,461.78591500000005,40.49,0.19
C0.0698Hf0.1163Mo0.1163Nb0.2326Ti0.2326Zr0.2326,1201,1.473074,12.0,4.47,15.52,-28.6,14.17,1.4394262,0.314,7.107978790000001,16.11,2475.2893000000004,20.59,-3.948276,57.06,276.58212000000003,82.93,0.1
C0.0909Co0.1818Cr0.1818Fe0.1818Mn0.1818Ni0.1818,520.9,1.246239,9.08,7.64,23.19,-20.49,14.7,1.8529055999999997,0.231,7.86345903,14.56,1974.1662000000001,31.06,-2.328858,150.82,369.4176,59.17,0.18
C0.093Mo0.2326Nb0.2326Re0.1163Ta0.093W0.2326,1144,1.373407,11.13,5.61,14.46,-34.24,14.21,1.5585440000000002,0.322,7.77538228,15.7,3226.5995,12.7,-1.88347,156.41,479.146484,46.02,0.11
C0.1111Mo0.2222Nb0.2222Re0.1111Ta0.1111W0.2222,1202,1.365419,12.11,5.56,14.95,-38.46,14.43,1.5751757999999998,0.349,7.853981189999999,16.54,3240.1204,12.65,-1.8687020000000003,162.71,486.5746710000001,47.92,0.1
C0.1277Mo0.2128Nb0.2128Re0.1064Ta0.1277W0.2128,1241,1.3587759999999998,12.93,5.51,15.38,-42.26,14.57,1.5911406,0.371,7.929625949999999,17.19,3254.0452999999998,12.59,-1.856104,168.38,493.60020299999996,49.43,0.09
C0.1667Co0.1667Cr0.1667Fe0.1667Mn0.1667Ni0.1667,643.8,1.2185769999999998,11.72,7.33,26.91,-31.57,14.9,1.9110487999999999,0.292,8.148879449999999,17.71,2128.5923,36.54,-2.65053,133.1,425.085,65.6,0.11
Co0.0487Cr0.1564Cu0.3471Ni0.3506Si0.0971,777,1.271399,2.16,9.09,25.95,-7.67,11.63,1.8349746000000002,0.082,7.593884490000001,5.07,1658.6643600000002,15.8,0.6561350000000001,246.14,229.598518,27.59,2.49
Co0.0528Cu0.0528Fe0.0528Nb0.7886Ni0.0528,1415,1.4172319999999998,5.85,5.95,32.05,-11.11,6.72,1.5013439999999998,0.177,6.976119199999999,6.06,2513.6748799999996,17.79,-2.8043839999999998,64.39,244.5728,9.46,0.2
Co0.064Cu0.064Fe0.064Nb0.744Ni0.064,1703,1.4081599999999999,6.3,6.15,33.23,-12.62,7.68,1.5207199999999998,0.189,7.022196,6.44,2465.4544,19.41,-2.7459200000000004,72.22,244.164,10.43,0.19
Co0.0868Cu0.0868Fe0.0868Nb0.6527Ni0.0868,1635,1.389692,6.97,6.56,34.17,-14.81,9.37,1.560164,0.207,7.1159952,6.94,2367.29128,22.11,-2.6269040000000006,87.47,243.3318,12.16,0.19
Co0.1111Cu0.1111Fe0.1111Nb0.5556Ni0.1111,1498,1.370009,7.38,7.0,33.67,-15.8,10.83,1.602203,0.216,7.2159654,7.15,2262.6700600000004,24.23,-2.500058,103.42,242.44485,13.79,0.2
Co0.1161Cr0.2326Fe0.2326Ni0.3488Ti0.0698,586,1.2756990000000001,4.54,8.07,23.36,-9.55,12.32,1.7681620000000002,0.138,7.4682245400000005,6.24,1858.1958,8.54,-1.4660029999999997,274.65,265.13219,19.58,0.6
Co0.125Cr0.125Cu0.125Fe0.125Mn0.125Ni0.125Ti0.125V0.125,1312,1.31125,5.4,7.5,30.55,-8.13,17.29,1.7099999999999997,0.166,7.3655125,6.43,1799.825,14.43,-1.7725,183.23,259.175,29.41,0.59
Co0.1667Cr0.1667Cu0.1667Fe0.1667Ni0.1667Ti0.1667,1272,1.30026,6.04,8.0,29.76,-8.45,14.9,1.7336799999999999,0.175,7.458791459999999,6.38,1787.29072,13.1,-1.95039,184.12,241.99839,27.13,0.41
Co0.1667Cr0.1667Fe0.1667Mn0.1667Ni0.1667V0.1667,1660,1.290258,3.35,7.5,22.77,-7.56,14.9,1.7420149999999999,0.119,7.396395649999999,6.46,1851.8702999999998,12.26,-1.5319729999999998,214.55,290.50809,21.31,1.33
Co0.1667Cr0.1667Fe0.3333Ni0.3333,214,1.258335,1.62,8.5,16.29,-3.33,11.06,1.8083269999999998,0.078,7.62187016,5.24,1827.6787999999997,7.62,-2.0565149999999996,207.17,265.85576,16.09,4.21
Co0.1724Cr0.1724Cu0.1724Fe0.1724Ni0.1724Ti0.1379,1042,1.2940049999999998,5.65,8.14,28.26,-6.75,14.87,1.74535,0.164,7.47825822,6.27,1781.71534,13.27,-1.8269849999999996,196.47,244.67028,26.59,0.47
Co0.1724Cr0.1724Fe0.1724Mn0.1379Ni0.1724Pd0.1724,650,1.2929730000000001,3.84,8.38,17.84,-4.54,14.87,1.749825,0.107,7.667048240000001,6.42,1805.1010999999999,9.76,-1.1408829999999996,316.21,286.60713999999996,20.99,1.01
Co0.1735Cr0.1735Fe0.1735Mn0.1735Ni0.1735V0.1327,780,1.2882179999999999,3.33,7.6,21.9,-7.0,14.86,1.7506509999999997,0.114,7.4228592099999995,6.32,1839.2835,12.11,-1.6160889999999997,205.82,293.02749,21.11,1.34
Co0.1739Cr0.1739Fe0.1739Mn0.1739Ni0.1739V0.1304,740,1.287696,3.33,7.61,21.83,-6.95,14.85,1.7507,0.113,7.422391999999999,6.31,1837.8951,12.1,-1.621196,205.29,293.10708,21.1,1.34
Co0.1786Cr0.1786Fe0.1786Mn0.1071Ni0.1786Pd0.1786,650,1.2911970000000002,3.82,8.43,17.77,-4.77,14.78,1.7501750000000003,0.109,7.6769428600000005,6.5,1815.7709,9.39,-1.074277,340.15,282.86096000000003,20.41,1.01
Co0.1818Cr0.1818Cu0.1818Fe0.1818Ni0.1818Ti0.0909,700,1.2844170000000001,4.84,8.36,25.64,-3.7,14.7,1.765278,0.144,7.513739459999999,6.06,1773.4771799999999,13.54,-1.6262009999999998,220.06,249.1569,25.62,0.63
Co0.1818Cr0.1818Fe0.1818Mn0.1818Ni0.1818V0.0909,620,1.2853260000000002,3.29,7.73,20.71,-6.21,14.7,1.7607329999999997,0.105,7.45313643,6.11,1823.2721999999999,11.86,-1.718919,196.08,296.03403000000003,20.83,1.36
Co0.1818Cr0.1818Fe0.1818Nb0.0726Ni0.382,640,1.2723339999999999,4.46,8.36,20.57,-9.16,12.37,1.782248,0.132,7.50858066,5.97,1895.6794,14.66,-1.0170599999999999,357.3,271.36332,15.24,0.62
Co0.1852Cr0.1852Fe0.1852Mn0.0741Ni0.1852Pd0.1852,650,1.2890190000000001,3.8,8.48,17.69,-5.02,14.59,1.7501749999999998,0.111,7.685893120000001,6.58,1826.8060999999998,8.95,-1.0027329999999999,369.16,278.78942,19.61,1.01
Co0.1905Cr0.1905Fe0.1905Mn0.1905Ni0.1905V0.0476,200,1.2829840000000001,3.24,7.86,19.35,-5.3,14.34,1.7720879999999997,0.095,7.488343480000001,5.86,1807.6004999999998,11.52,-1.826432,186.89,299.30312000000004,20.48,1.37
Co0.1923Cr0.1923Fe0.1923Mn0.0385Ni0.1923Pd0.1923,650,1.2865410000000002,3.76,8.54,17.56,-5.3,14.22,1.7499999999999998,0.113,7.694778030000001,6.67,1838.5256000000002,8.41,-0.925468,405.27,274.37013,18.52,1.01
Co0.1927Cr0.1927Cu0.1927Fe0.1927Ni0.1927V0.0366,616,1.2688350000000002,1.99,8.66,21.17,1.96,14.2,1.794152,0.095,7.5532507,5.84,1772.6192200000003,14.28,-1.173415,296.28,256.81853000000007,23.2,3.59
Co0.1927Cr0.1927Fe0.1927Mn0.1927Mo0.0366Ni0.1927,765,1.284154,3.49,7.93,18.13,-4.12,14.2,1.772686,0.098,7.509572479999999,5.55,1830.2463000000005,15.48,-1.8313199999999998,187.9,308.71922,21.64,1.17
Co0.1947Cr0.1947Cu0.1947Fe0.1947Ni0.1947V0.0265,330,1.2679610000000001,1.92,8.7,20.73,2.29,14.04,1.796739,0.091,7.56094427,5.76,1768.3804200000002,14.22,-1.1911479999999999,293.01,257.08726,23.27,3.81
Co0.1947Cr0.1947Fe0.1947Mn0.1947Mo0.0265Ni0.1947,560,1.282915,3.41,7.95,18.01,-4.13,14.04,1.775679,0.093,7.513185640000001,5.55,1818.9553,14.46,-1.8622740000000002,185.01,307.06385000000006,21.24,1.21
Co0.1966Cr0.1966Cu0.1966Fe0.1966Ni0.1966V0.0171,307,1.267392,1.85,8.74,20.31,2.61,13.87,1.7994949999999998,0.088,7.5695686900000005,5.69,1764.77476,14.15,-1.2078909999999998,290.01,257.38715,23.33,4.05
Co0.1966Cr0.1966Fe0.1966Mn0.1966Mo0.0171Ni0.1966,330,1.282009,3.32,7.97,17.89,-4.14,13.87,1.7788089999999999,0.089,7.518001160000001,5.54,1808.7924,13.39,-1.8914579999999996,182.37,305.58167,20.84,1.26
Co0.1983Cr0.1983Cu0.1983Fe0.1983Ni0.1983V0.0083,303,1.266361,1.77,8.77,19.93,2.91,13.67,1.8013649999999999,0.085,7.57465777,5.61,1760.70738,14.08,-1.2230779999999999,287.33,257.5664,23.39,4.36
Co0.1983Cr0.1983Fe0.1983Mn0.1983Mo0.0083Ni0.1983,225,1.280657,3.24,7.98,17.79,-4.15,13.67,1.7810369999999998,0.084,7.51954748,5.54,1798.5737000000004,12.26,-1.9180139999999997,179.99,304.07491,20.44,1.3
Co0.19Cr0.19Fe0.19Mn0.19Ni0.19V0.05,200,1.283,3.24,7.85,19.43,-5.35,14.36,1.7713,0.095,7.485723000000001,5.88,1808.31,11.54,-1.8203,187.39,299.095,20.5,1.37
Co0.2128Fe0.2128Mo0.0426Ni0.4255V0.1064,252,1.263538,3.15,8.66,18.65,-6.83,11.6,1.7999459999999998,0.124,7.62938498,4.63,1848.3238000000001,13.76,-1.063529,358.56,263.09753,19.53,1.17
Co0.2222Cr0.2222Fe0.2222Ni0.2222W0.1111,556,1.2787610000000003,3.99,8.0,19.54,-3.26,13.14,1.7564910000000002,0.13,7.59461824,6.02,2060.2384,28.74,-1.6887200000000002,213.12,307.123729,28.43,0.83
Co0.2267Cr0.2267Fe0.2267Nb0.0934Ni0.2267,638,1.281199,4.79,7.95,21.34,-9.69,13.03,1.757133,0.139,7.4751729000000005,6.65,1940.8438,15.38,-1.808829,202.22,277.15380000000005,16.0,0.57
Co0.2321Cr0.2321Fe0.2321Nb0.0717Ni0.2321,479,1.276787,4.35,8.02,20.62,-8.42,12.84,1.7652539999999999,0.129,7.491526449999999,6.54,1921.4969,14.31,-1.7782269999999998,207.84,277.85814999999997,16.05,0.68
Co0.2326Cr0.2326Fe0.2326Ni0.2326Ti0.0698,540,1.277236,4.48,7.96,22.5,-8.9,12.83,1.764066,0.134,7.49861628,6.43,1863.6066,8.33,-1.945344,195.82,272.08011999999997,19.52,0.64
Co0.2376Cr0.2376Fe0.2376Mo0.0494Ni0.2376,254.7,1.2685460000000002,2.79,8.14,18.7,-4.04,12.59,1.77621,0.11,7.52331848,6.14,1908.6092,14.28,-1.5379800000000001,245.2,289.25638,20.57,1.62
Co0.2378Cr0.2378Fe0.2378Nb0.049Ni0.2378,403,1.27243,3.78,8.09,19.83,-7.03,12.59,1.7741160000000002,0.118,7.510177860000001,6.42,1901.6386000000002,12.94,-1.7465580000000003,213.86,278.6523,16.1,0.88
Co0.2381Cr0.2381Fe0.2381Mo0.0476Ni0.2381,400,1.268569,2.77,8.14,18.68,-4.04,12.57,1.7771489999999999,0.109,7.525646760000001,6.14,1907.1232,14.13,-1.5433870000000003,244.48,288.98222,20.44,1.64
Co0.2381Cr0.2381Fe0.2381Ni0.2381Ti0.0476,700,1.272377,3.89,8.05,21.16,-7.35,12.57,1.772865,0.122,7.513070840000001,6.35,1861.5700000000002,8.42,-1.859927,205.04,274.64034,18.54,0.83
Co0.2381Cr0.2381Fe0.2381Ni0.2381W0.0476,335,1.2695210000000001,3.03,8.14,18.68,-3.54,12.57,1.7771489999999999,0.109,7.567896520000001,6.09,1944.7272000000003,21.5,-1.682379,221.44,291.775864,23.3,1.37
Co0.2407Cr0.2407Fe0.2407Nb0.0373Ni0.2407,322,1.2699930000000001,3.43,8.13,19.39,-6.28,12.42,1.7784119999999997,0.112,7.51864741,6.36,1891.1217000000001,12.12,-1.7299809999999998,217.06,279.01914999999997,16.13,1.06
Co0.2437Cr0.2437Fe0.2437Nb0.0251Ni0.2437,318,1.267331,3.02,8.17,18.93,-5.47,12.21,1.78272,0.105,7.52675643,6.29,1879.9775,11.15,-1.712535,220.45,279.37485000000004,16.15,1.34
Co0.2449Cr0.2449Fe0.2449Mo0.0203Ni0.2449,198.8,1.2649620000000001,2.28,8.2,18.27,-3.88,12.12,1.785774,0.097,7.537310800000001,6.14,1878.7638,11.44,-1.6201369999999997,234.49,283.94601,18.26,2.33
Co0.25Cr0.1786Fe0.2857Ni0.2857,241,1.25893,1.64,8.46,16.26,-3.29,11.39,1.8060660000000004,0.079,7.61906414,5.41,1832.0818,7.77,-1.943465,204.92,272.91364999999996,15.95,4.23
Co0.25Cr0.25Fe0.25Mn0.25,338,1.29,3.05,7.5,14.91,-2.25,11.53,1.76,0.071,7.49585,6.15,1805.75,12.07,-2.9625,105.35,316.475,19.14,1.24
Co0.25Cr0.25Mn0.25Ni0.25,282,1.285,3.41,8.0,19.76,-5.5,11.53,1.78,0.089,7.4302,5.58,1785.25,12.36,-0.49,425.95,322.0,16.32,0.99
Co0.25Fe0.25Mn0.25Ni0.25,170,1.275,3.44,8.5,13.15,-4.0,11.53,1.8175000000000001,0.048,7.714300000000001,2.49,1704.75,6.58,-2.6574999999999998,132.41,293.55,22.01,0.97
