Composition,YS (MPa)
Al0.1818Cr0.1818Cu0.1818Fe0.1818Mn0.1818W0.0909,1510
Al0.1818Cr0.2726Nb0.1818Ti0.1818V0.1818,1700
Al0.1818Nb0.1818Ti0.1818V0.1818Zr0.2726,1535
Al0.1852C0.0741Co0.1852Cr0.1852Fe0.1852Ni0.1852,1056
Al0.1852Co0.1852Cr0.1852Fe0.1852Mo0.0741Ni0.1852,2670
Al0.1852Co0.1852Cr0.1852Fe0.1852Ni0.1852Si0.0741,1481
Al0.186C0.0003Co0.2359Fe0.3419Ni0.2359,1202
Al0.1887C0.0566Co0.1887Cr0.1887Fe0.1887Ni0.1887,867
Al0.1887Co0.1887Cr0.1887Fe0.1887Mo0.0566Ni0.1887,2649
Al0.18Co0.3Cr0.0999Fe0.0999Mo0.0201Ni0.3,1250.8
Al0.18Co0.3Cr0.0999Fe0.0999Mo0.03Ni0.2901,1198.3
Al0.18Co0.3Cr0.1001Fe0.1001Mo0.0099Ni0.3099,1159.7
Al0.1905Co0.1905Cr0.1905Fe0.1905Nb0.0476Ni0.1905,1959
Al0.1905Cr0.1905Fe0.1905Mo0.0952Ni0.1905Ti0.1429,618.8
Al0.1923C0.0385Co0.1923Cr0.1923Fe0.1923Ni0.1923,906
Al0.1923Co0.1923Cr0.1923Fe0.1923Mo0.0385Ni0.1923,2456
Al0.1923Co0.1923Cr0.1923Fe0.1923Ni0.1923Si0.0385,1265
Al0.1961C0.0196Co0.1961Cr0.1961Fe0.1961Ni0.1961,957
Al0.1961Co0.1961Cr0.1961Fe0.1961Mo0.0196Ni0.1961,1804
Al0.1961Co0.1961Cr0.1961Fe0.1961Nb0.0196Ni0.1961,1641
Al0.1961Cr0.1961Cu0.1961Fe0.1961Mn0.1961W0.0196,1250
Al0.1961Cr0.1961Fe0.1961Mo0.098Ni0.1961Ti0.1176,1314.5
Al0.198Cr0.198Cu0.198Fe0.198Mn0.198W0.0099,1120
Al0.1991Ca0.05Li0.2999Mg0.3499Si0.1001Y0.001,556
Al0.1Co0.2Cr0.2Fe0.2Ni0.2Ti0.1,1100
Al0.1Cr0.2Nb0.2Ti0.4V0.1,1240
Al0.2001Nb0.3Ta0.0999Ti0.3Zr0.0999,1280
Al0.2041Cr0.2041Fe0.2041Mo0.102Ni0.2041Ti0.0816,2185.1
Al0.2083Co0.2083Cu0.2083Fe0.2083Ni0.1667,1021
Al0.2083Cr0.2083Fe0.2083Mo0.1667Ni0.2083,1513
Al0.2105Co0.1579Cr0.2105Fe0.2105Ni0.2105,1331
Al0.2105Cr0.2105Fe0.2105Mo0.1053Ni0.2105Ti0.0526,2161.7
Al0.2222Co0.1111Cr0.2222Fe0.2222Ni0.2222,1349
Al0.2222Co0.2222Cu0.2222Fe0.2222Ni0.1111,929
Al0.2222Cr0.1111Nb0.2222Ti0.2222V0.2222,1300
